fixture,operation,variant,runtime,option,source,max_abs,mean_abs,unequal,nonfinite_pattern_difference,elements
primitives_5x8,spec,octave_decomposition,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,octave_inverse_and_scaling,0,3,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,python,1,1,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,python,1,2,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,python,1,3,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,octave_inverse_and_scaling,1,1,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,octave_inverse_and_scaling,1,2,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,octave_inverse_and_scaling,1,3,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,python,2,1,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,python,2,2,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,python,2,3,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,octave_inverse_and_scaling,2,1,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,octave_inverse_and_scaling,2,2,0.0,0.0,0,0,40
primitives_5x8,spec,octave_decomposition,octave_inverse_and_scaling,2,3,0.0,0.0,0,0,40
primitives_6x8,sf,native,python,0,1,0.0,0.0,0,0,48
primitives_6x8,sf,native,python,0,2,0.0,0.0,0,0,48
primitives_6x8,sf,native,python,0,3,0.0,0.0,0,0,48
primitives_6x8,sf,native,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,48
primitives_6x8,sf,native,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,48
primitives_6x8,sf,native,octave_inverse_and_scaling,0,3,0.0,0.0,0,0,48
primitives_6x8,sf,native,python,1,1,0.0,0.0,0,0,48
primitives_6x8,sf,native,python,1,2,0.0,0.0,0,0,48
primitives_6x8,sf,native,python,1,3,0.0,0.0,0,0,48
primitives_6x8,sf,native,octave_inverse_and_scaling,1,1,0.0,0.0,0,0,48
primitives_6x8,sf,native,octave_inverse_and_scaling,1,2,0.0,0.0,0,0,48
primitives_6x8,sf,native,octave_inverse_and_scaling,1,3,0.0,0.0,0,0,48
primitives_6x8,sf,native,python,2,1,0.0,0.0,0,0,48
primitives_6x8,sf,native,python,2,2,0.0,0.0,0,0,48
primitives_6x8,sf,native,python,2,3,0.0,0.0,0,0,48
primitives_6x8,sf,native,octave_inverse_and_scaling,2,1,0.0,0.0,0,0,48
primitives_6x8,sf,native,octave_inverse_and_scaling,2,2,0.0,0.0,0,0,48
primitives_6x8,sf,native,octave_inverse_and_scaling,2,3,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,python,0,1,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,python,0,2,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,python,0,3,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,octave_inverse_and_scaling,0,3,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,python,1,1,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,python,1,2,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,python,1,3,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,octave_inverse_and_scaling,1,1,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,octave_inverse_and_scaling,1,2,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,octave_inverse_and_scaling,1,3,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,python,2,1,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,python,2,2,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,python,2,3,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,octave_inverse_and_scaling,2,1,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,octave_inverse_and_scaling,2,2,0.0,0.0,0,0,48
primitives_6x8,sf,octave_decomposition,octave_inverse_and_scaling,2,3,0.0,0.0,0,0,48
primitives_6x8,spec,native,python,0,1,0.0,0.0,0,0,48
primitives_6x8,spec,native,python,0,2,4.0,2.6458333333333335,41,0,48
primitives_6x8,spec,native,python,0,3,98.0,30.270833333333332,48,0,48
primitives_6x8,spec,native,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,48
primitives_6x8,spec,native,octave_inverse_and_scaling,0,2,4.0,2.6458333333333335,41,0,48
primitives_6x8,spec,native,octave_inverse_and_scaling,0,3,98.0,30.270833333333332,48,0,48
primitives_6x8,spec,native,python,1,1,4.0,1.9166666666666667,45,0,48
primitives_6x8,spec,native,python,1,2,7.0,3.0625,45,0,48
primitives_6x8,spec,native,python,1,3,95.0,29.666666666666668,48,0,48
primitives_6x8,spec,native,octave_inverse_and_scaling,1,1,4.0,1.9166666666666667,45,0,48
primitives_6x8,spec,native,octave_inverse_and_scaling,1,2,7.0,3.0625,45,0,48
primitives_6x8,spec,native,octave_inverse_and_scaling,1,3,95.0,29.666666666666668,48,0,48
primitives_6x8,spec,native,python,2,1,3.0,1.5833333333333333,41,0,48
primitives_6x8,spec,native,python,2,2,7.0,3.375,45,0,48
primitives_6x8,spec,native,python,2,3,107.0,32.833333333333336,47,0,48
primitives_6x8,spec,native,octave_inverse_and_scaling,2,1,3.0,1.5833333333333333,41,0,48
primitives_6x8,spec,native,octave_inverse_and_scaling,2,2,7.0,3.375,45,0,48
primitives_6x8,spec,native,octave_inverse_and_scaling,2,3,107.0,32.833333333333336,47,0,48
primitives_6x8,spec,octave_decomposition,python,0,1,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,python,0,2,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,python,0,3,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,octave_inverse_and_scaling,0,3,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,python,1,1,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,python,1,2,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,python,1,3,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,octave_inverse_and_scaling,1,1,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,octave_inverse_and_scaling,1,2,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,octave_inverse_and_scaling,1,3,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,python,2,1,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,python,2,2,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,python,2,3,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,octave_inverse_and_scaling,2,1,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,octave_inverse_and_scaling,2,2,0.0,0.0,0,0,48
primitives_6x8,spec,octave_decomposition,octave_inverse_and_scaling,2,3,0.0,0.0,0,0,48
